      0.00000000e+00      -5.56046026e+00       6.00000000e+00
      1.00000000e-02      -5.56046027e+00       6.00000005e+00
      2.00000000e-02      -5.56046028e+00       6.00000022e+00
      3.00000000e-02      -5.56046029e+00       6.00000049e+00
      4.00000000e-02      -5.56046031e+00       6.00000086e+00
      5.00000000e-02      -5.56046034e+00       6.00000134e+00
      6.00000000e-02      -5.56046038e+00       6.00000192e+00
      7.00000000e-02      -5.56046042e+00       6.00000261e+00
      8.00000000e-02      -5.56046047e+00       6.00000339e+00
      9.00000000e-02      -5.56046052e+00       6.00000427e+00
      1.00000000e-01      -5.56046059e+00       6.00000524e+00
      1.10000000e-01      -5.56046065e+00       6.00000629e+00
      1.20000000e-01      -5.56046072e+00       6.00000743e+00
      1.30000000e-01      -5.56046080e+00       6.00000865e+00
      1.40000000e-01      -5.56046088e+00       6.00000995e+00
      1.50000000e-01      -5.56046097e+00       6.00001131e+00
      1.60000000e-01      -5.56046107e+00       6.00001274e+00
      1.70000000e-01      -5.56046117e+00       6.00001422e+00
      1.80000000e-01      -5.56046127e+00       6.00001576e+00
      1.90000000e-01      -5.56046138e+00       6.00001734e+00
      2.00000000e-01      -5.56046149e+00       6.00001896e+00
      2.10000000e-01      -5.56046160e+00       6.00002061e+00
      2.20000000e-01      -5.56046172e+00       6.00002228e+00
      2.30000000e-01      -5.56046185e+00       6.00002396e+00
      2.40000000e-01      -5.56046197e+00       6.00002566e+00
      2.50000000e-01      -5.56046210e+00       6.00002735e+00
      2.60000000e-01      -5.56046224e+00       6.00002904e+00
      2.70000000e-01      -5.56046237e+00       6.00003071e+00
      2.80000000e-01      -5.56046251e+00       6.00003235e+00
      2.90000000e-01      -5.56046264e+00       6.00003395e+00
      3.00000000e-01      -5.56046278e+00       6.00003551e+00
      3.10000000e-01      -5.56046292e+00       6.00003701e+00
      3.20000000e-01      -5.56046306e+00       6.00003845e+00
      3.30000000e-01      -5.56046320e+00       6.00003982e+00
      3.40000000e-01      -5.56046334e+00       6.00004110e+00
      3.50000000e-01      -5.56046348e+00       6.00004229e+00
      3.60000000e-01      -5.56046362e+00       6.00004337e+00
      3.70000000e-01      -5.56046376e+00       6.00004435e+00
      3.80000000e-01      -5.56046390e+00       6.00004519e+00
      3.90000000e-01      -5.56046403e+00       6.00004591e+00
      4.00000000e-01      -5.56046417e+00       6.00004647e+00
      4.10000000e-01      -5.56046430e+00       6.00004689e+00
      4.20000000e-01      -5.56046442e+00       6.00004714e+00
      4.30000000e-01      -5.56046455e+00       6.00004721e+00
      4.40000000e-01      -5.56046467e+00       6.00004710e+00
      4.50000000e-01      -5.56046478e+00       6.00004680e+00
      4.60000000e-01      -5.56046489e+00       6.00004629e+00
      4.70000000e-01      -5.56046500e+00       6.00004556e+00
      4.80000000e-01      -5.56046510e+00       6.00004461e+00
      4.90000000e-01      -5.56046519e+00       6.00004343e+00
      5.00000000e-01      -5.56046528e+00       6.00004200e+00
      5.10000000e-01      -5.56046536e+00       6.00004032e+00
      5.20000000e-01      -5.56046543e+00       6.00003837e+00
      5.30000000e-01      -5.56046549e+00       6.00003615e+00
      5.40000000e-01      -5.56046555e+00       6.00003366e+00
      5.50000000e-01      -5.56046560e+00       6.00003087e+00
      5.60000000e-01      -5.56046564e+00       6.00002779e+00
      5.70000000e-01      -5.56046567e+00       6.00002440e+00
      5.80000000e-01      -5.56046569e+00       6.00002070e+00
      5.90000000e-01      -5.56046570e+00       6.00001667e+00
      6.00000000e-01      -5.56046570e+00       6.00001232e+00
      6.10000000e-01      -5.56046569e+00       6.00000763e+00
      6.20000000e-01      -5.56046567e+00       6.00000260e+00
      6.30000000e-01      -5.56046564e+00       5.99999722e+00
      6.40000000e-01      -5.56046559e+00       5.99999148e+00
      6.50000000e-01      -5.56046553e+00       5.99998538e+00
      6.60000000e-01      -5.56046546e+00       5.99997892e+00
      6.70000000e-01      -5.56046538e+00       5.99997208e+00
      6.80000000e-01      -5.56046528e+00       5.99996487e+00
      6.90000000e-01      -5.56046517e+00       5.99995728e+00
      7.00000000e-01      -5.56046505e+00       5.99994930e+00
      7.10000000e-01      -5.56046491e+00       5.99994093e+00
      7.20000000e-01      -5.56046475e+00       5.99993217e+00
      7.30000000e-01      -5.56046458e+00       5.99992301e+00
      7.40000000e-01      -5.56046440e+00       5.99991345e+00
      7.50000000e-01      -5.56046420e+00       5.99990350e+00
      7.60000000e-01      -5.56046398e+00       5.99989314e+00
      7.70000000e-01      -5.56046375e+00       5.99988237e+00
      7.80000000e-01      -5.56046350e+00       5.99987121e+00
      7.90000000e-01      -5.56046323e+00       5.99985963e+00
      8.00000000e-01      -5.56046295e+00       5.99984765e+00
      8.10000000e-01      -5.56046265e+00       5.99983527e+00
      8.20000000e-01      -5.56046233e+00       5.99982248e+00
      8.30000000e-01      -5.56046200e+00       5.99980928e+00
      8.40000000e-01      -5.56046165e+00       5.99979568e+00
      8.50000000e-01      -5.56046127e+00       5.99978169e+00
      8.60000000e-01      -5.56046088e+00       5.99976729e+00
      8.70000000e-01      -5.56046048e+00       5.99975249e+00
      8.80000000e-01      -5.56046006e+00       5.99973730e+00
      8.90000000e-01      -5.56045958e+00       5.99972173e+00
      9.00000000e-01      -5.56045908e+00       5.99970577e+00
      9.10000000e-01      -5.56045856e+00       5.99968944e+00
      9.20000000e-01      -5.56045803e+00       5.99967274e+00
      9.30000000e-01      -5.56045747e+00       5.99965567e+00
      9.40000000e-01      -5.56045689e+00       5.99963823e+00
      9.50000000e-01      -5.56045629e+00       5.99962044e+00
