      0.00000000e+00      -9.01754097e+00       8.00000000e+00
      1.00000000e-02      -9.01755300e+00       7.99999990e+00
      2.00000000e-02      -9.01758484e+00       7.99999973e+00
      3.00000000e-02      -9.01763621e+00       7.99999949e+00
      4.00000000e-02      -9.01770693e+00       7.99999918e+00
      5.00000000e-02      -9.01779678e+00       7.99999880e+00
      6.00000000e-02      -9.01790542e+00       7.99999835e+00
      7.00000000e-02      -9.01803248e+00       7.99999783e+00
      8.00000000e-02      -9.01817752e+00       7.99999725e+00
      9.00000000e-02      -9.01834000e+00       7.99999659e+00
      1.00000000e-01      -9.01851936e+00       7.99999587e+00
      1.10000000e-01      -9.01871494e+00       7.99999509e+00
      1.20000000e-01      -9.01892605e+00       7.99999424e+00
      1.30000000e-01      -9.01915191e+00       7.99999332e+00
      1.40000000e-01      -9.01939169e+00       7.99999235e+00
      1.50000000e-01      -9.01964453e+00       7.99999132e+00
      1.60000000e-01      -9.01990948e+00       7.99999024e+00
      1.70000000e-01      -9.02018557e+00       7.99998911e+00
      1.80000000e-01      -9.02047176e+00       7.99998793e+00
      1.90000000e-01      -9.02076697e+00       7.99998671e+00
      2.00000000e-01      -9.02107009e+00       7.99998545e+00
      2.10000000e-01      -9.02137995e+00       7.99998417e+00
      2.20000000e-01      -9.02169537e+00       7.99998286e+00
      2.30000000e-01      -9.02201510e+00       7.99998154e+00
      2.40000000e-01      -9.02233789e+00       7.99998021e+00
      2.50000000e-01      -9.02266244e+00       7.99997889e+00
      2.60000000e-01      -9.02298745e+00       7.99997759e+00
      2.70000000e-01      -9.02331158e+00       7.99997632e+00
      2.80000000e-01      -9.02363348e+00       7.99997509e+00
      2.90000000e-01      -9.02395177e+00       7.99997391e+00
      3.00000000e-01      -9.02426507e+00       7.99997281e+00
      3.10000000e-01      -9.02457200e+00       7.99997180e+00
      3.20000000e-01      -9.02487115e+00       7.99997089e+00
      3.30000000e-01      -9.02516113e+00       7.99997011e+00
      3.40000000e-01      -9.02544054e+00       7.99996948e+00
      3.50000000e-01      -9.02570797e+00       7.99996901e+00
      3.60000000e-01      -9.02596204e+00       7.99996874e+00
      3.70000000e-01      -9.02620136e+00       7.99996869e+00
      3.80000000e-01      -9.02642456e+00       7.99996888e+00
      3.90000000e-01      -9.02663029e+00       7.99996935e+00
      4.00000000e-01      -9.02681720e+00       7.99997011e+00
      4.10000000e-01      -9.02698397e+00       7.99997120e+00
      4.20000000e-01      -9.02712931e+00       7.99997265e+00
      4.30000000e-01      -9.02725193e+00       7.99997450e+00
      4.40000000e-01      -9.02735059e+00       7.99997677e+00
      4.50000000e-01      -9.02742408e+00       7.99997950e+00
      4.60000000e-01      -9.02747119e+00       7.99998274e+00
      4.70000000e-01      -9.02749078e+00       7.99998650e+00
      4.80000000e-01      -9.02748172e+00       7.99999084e+00
      4.90000000e-01      -9.02744293e+00       7.99999579e+00
      5.00000000e-01      -9.02737336e+00       8.00000139e+00
      5.10000000e-01      -9.02727200e+00       8.00000767e+00
      5.20000000e-01      -9.02713788e+00       8.00001470e+00
      5.30000000e-01      -9.02697007e+00       8.00002249e+00
      5.40000000e-01      -9.02676769e+00       8.00003110e+00
      5.50000000e-01      -9.02652990e+00       8.00004057e+00
      5.60000000e-01      -9.02625588e+00       8.00005093e+00
      5.70000000e-01      -9.02594489e+00       8.00006225e+00
      5.80000000e-01      -9.02559620e+00       8.00007455e+00
      5.90000000e-01      -9.02520912e+00       8.00008787e+00
      6.00000000e-01      -9.02478304e+00       8.00010228e+00
      6.10000000e-01      -9.02431733e+00       8.00011779e+00
      6.20000000e-01      -9.02381143e+00       8.00013447e+00
      6.30000000e-01      -9.02326482e+00       8.00015234e+00
      6.40000000e-01      -9.02267699e+00       8.00017146e+00
      6.50000000e-01      -9.02204745e+00       8.00019185e+00
      6.60000000e-01      -9.02137576e+00       8.00021357e+00
      6.70000000e-01      -9.02066148e+00       8.00023664e+00
      6.80000000e-01      -9.01990418e+00       8.00026111e+00
      6.90000000e-01      -9.01910343e+00       8.00028701e+00
      7.00000000e-01      -9.01825882e+00       8.00031438e+00
      7.10000000e-01      -9.01736990e+00       8.00034324e+00
      7.20000000e-01      -9.01643623e+00       8.00037364e+00
      7.30000000e-01      -9.01545730e+00       8.00040559e+00
      7.40000000e-01      -9.01443260e+00       8.00043913e+00
      7.50000000e-01      -9.01336154e+00       8.00047428e+00
      7.60000000e-01      -9.01224347e+00       8.00051106e+00
      7.70000000e-01      -9.01107764e+00       8.00054950e+00
      7.80000000e-01      -9.00986322e+00       8.00058961e+00
      7.90000000e-01      -9.00859923e+00       8.00063141e+00
      8.00000000e-01      -9.00728457e+00       8.00067490e+00
      8.10000000e-01      -9.00591797e+00       8.00072010e+00
      8.20000000e-01      -9.00449795e+00       8.00076702e+00
      8.30000000e-01      -9.00302284e+00       8.00081566e+00
      8.40000000e-01      -9.00149072e+00       8.00086601e+00
      8.50000000e-01      -8.99989939e+00       8.00091808e+00
      8.60000000e-01      -8.99824638e+00       8.00097185e+00
      8.70000000e-01      -8.99652888e+00       8.00102733e+00
      8.80000000e-01      -8.99474378e+00       8.00108448e+00
      8.90000000e-01      -8.99288760e+00       8.00114331e+00
      9.00000000e-01      -8.99095655e+00       8.00120378e+00
      9.10000000e-01      -8.98894651e+00       8.00126588e+00
      9.20000000e-01      -8.98685309e+00       8.00132958e+00
      9.30000000e-01      -8.98467173e+00       8.00139484e+00
      9.40000000e-01      -8.98239776e+00       8.00146165e+00
      9.50000000e-01      -8.98002656e+00       8.00152996e+00
